student_id,nom,prenom,age,sexe,filiere,niveau,moyenne_Generale,Categorie
ETU1313,Adjei,Yao,24,F,IA & Big Data,L2,14.62,Bon
ETU1669,Kossi,Koffi,26,F,Informatique & Systèmes,L3,14.61,Bon
ETU1031,Adjei,Yao,25,F,Génie Électrique,L2,14.6,Bon
ETU1422,Agbeko,Dodzi,23,F,Génie Civil,L2,14.59,Bon
ETU1792,Agbeko,Akossiwa,23,M,Génie Civil,L3,14.56,Bon
ETU1093,Lawson,Dodzi,20,M,IA & Big Data,L2,14.55,Bon
ETU1226,Kouassi,Koffi,21,M,Génie Civil,L1,14.54,Bon
ETU1269,Tchalla,Koffi,24,M,Logistique & Transport,L2,14.52,Bon
ETU1519,Tchalla,Akossiwa,24,F,IA & Big Data,L1,14.5,Bon
ETU1798,Lawson,Eyram,19,F,Génie Civil,L3,14.44,Bon
ETU1546,Amegan,Eyram,18,F,Logistique & Transport,L3,14.43,Bon
ETU1474,Doe,Mawuli,23,F,Informatique & Systèmes,L2,14.42,Bon
ETU1733,Agbeko,Ama,25,F,Informatique & Systèmes,L1,14.38,Bon
ETU1142,Adjei,Dodzi,21,M,Génie Civil,L3,14.38,Bon
ETU1106,Agbeko,Kodjo,26,F,Génie Civil,L3,14.37,Bon
ETU1081,Amegan,Eyram,17,M,IA & Big Data,L1,14.35,Bon
ETU1623,Amegan,Sena,21,F,Logistique & Transport,L1,14.3,Bon
ETU1137,Mensah,Ama,17,F,Génie Civil,L1,14.29,Bon
ETU1472,Amegan,Dodzi,21,F,Génie Civil,L2,14.25,Bon
ETU1595,Kouassi,Afi,25,M,Logistique & Transport,L3,14.24,Bon
ETU1728,Amegan,Koffi,17,M,Informatique & Systèmes,L3,14.24,Bon
ETU1159,Agbeko,Kodjo,22,M,IA & Big Data,L3,14.2,Bon
ETU1014,Agbeko,Mawuli,17,M,Informatique & Systèmes,L1,14.2,Bon
ETU1012,Agbeko,Sena,23,inconnue,IA & Big Data,L2,14.19,Bon
ETU1568,Doe,Dodzi,26,M,Génie Électrique,L1,14.19,Bon
ETU1080,Assogba,Koffi,26,M,Informatique & Systèmes,L1,14.19,Bon
ETU1444,Tchalla,Eyram,19,M,Informatique & Systèmes,L1,14.18,Bon
ETU1799,Amegan,Mawuli,21,M,Génie Civil,L2,14.17,Bon
ETU1154,Amegan,Mawuli,23,F,Génie Électrique,L2,14.17,Bon
ETU1667,Kouassi,Akossiwa,24,M,IA & Big Data,L1,14.16,Bon
ETU1391,Kossi,Yao,21,M,Génie Civil,L1,14.14,Bon
ETU1113,Amegan,Dodzi,24,M,Génie Électrique,L2,14.13,Bon
ETU1545,Mensah,Dodzi,21,F,Informatique & Systèmes,L2,14.06,Bon
ETU1747,Lawson,Eyram,24,F,IA & Big Data,L3,14.03,Bon
ETU1192,Doe,Ama,20,M,Génie Civil,L1,14.03,Bon
ETU1466,Kossi,Koffi,24,F,Génie Civil,L1,14.03,Bon
ETU1237,Amegan,Koffi,20,M,Informatique & Systèmes,L1,14.0,moyen
ETU1522,Kossi,Afi,22,F,Informatique & Systèmes,L2,13.98,moyen
ETU1057,Kossi,Koffi,25,F,Informatique & Systèmes,L2,13.92,moyen
ETU1576,Assogba,Dodzi,18,F,Génie Civil,L1,13.92,moyen
ETU1722,Kouassi,Ama,20,M,Informatique & Systèmes,L1,13.91,moyen
ETU1578,Kouassi,Afi,23,M,IA & Big Data,L2,13.88,moyen
ETU1094,Kouassi,Mawuli,18,M,Logistique & Transport,L3,13.88,moyen
ETU1565,Adjei,Koffi,26,M,Informatique & Systèmes,L1,13.86,moyen
ETU1070,Agbeko,Kodjo,24,F,Logistique & Transport,L2,13.85,moyen
ETU1699,Mensah,Eyram,25,M,Logistique & Transport,L3,13.85,moyen
ETU1187,Lawson,Akossiwa,17,M,Génie Électrique,L2,13.85,moyen
ETU1591,Assogba,Afi,21,M,Logistique & Transport,L2,13.82,moyen
ETU1034,Kouassi,Eyram,21,M,IA & Big Data,L2,13.78,moyen
ETU1627,Lawson,Dodzi,26,M,Informatique & Systèmes,L3,13.78,moyen
ETU1029,Amegan,Koffi,18,M,Génie Électrique,L2,13.76,moyen
ETU1263,Assogba,Mawuli,20,M,IA & Big Data,L3,13.73,moyen
ETU1475,Agbeko,Mawuli,21,F,IA & Big Data,L3,13.72,moyen
ETU1003,Amegan,Dodzi,21,F,Génie Électrique,L2,13.71,moyen
ETU1498,Assogba,Afi,24,F,Génie Civil,L2,13.7,moyen
ETU1058,Agbeko,Sena,25,M,IA & Big Data,L2,13.7,moyen
ETU1741,Agbeko,Yao,20,M,Logistique & Transport,L2,13.68,moyen
ETU1234,Amegan,Koffi,21,M,Génie Civil,L3,13.67,moyen
ETU1766,Doe,Dodzi,20,F,Informatique & Systèmes,L3,13.65,moyen
ETU1155,Doe,Sena,20,M,Logistique & Transport,L1,13.64,moyen
ETU1443,Amegan,Kodjo,24,M,Génie Électrique,L1,13.64,moyen
ETU1331,Lawson,Sena,21,M,Informatique & Systèmes,L3,13.63,moyen
ETU1690,Assogba,Yao,20,M,Logistique & Transport,L2,13.62,moyen
ETU1181,Kossi,Mawuli,20,M,Logistique & Transport,L1,13.62,moyen
ETU1096,Adjei,Afi,21,M,IA & Big Data,L3,13.62,moyen
ETU1642,Kouassi,Dodzi,21,M,Génie Électrique,L1,13.6,moyen
ETU1403,Assogba,Mawuli,21,F,Logistique & Transport,L2,13.59,moyen
ETU1043,Lawson,Koffi,22,M,Logistique & Transport,L1,13.56,moyen
ETU1677,Mensah,Akossiwa,17,M,Génie Civil,L3,13.51,moyen
ETU1781,Doe,Yao,21,M,IA & Big Data,L3,13.49,moyen
ETU1342,Doe,Dodzi,25,M,Génie Civil,L3,13.49,moyen
ETU1052,Lawson,Dodzi,17,M,Informatique & Systèmes,L3,13.47,moyen
ETU1636,Adjei,Kodjo,19,M,Informatique & Systèmes,L1,13.46,moyen
ETU1720,Kossi,Eyram,17,M,Génie Électrique,L2,13.44,moyen
ETU1364,Kossi,Afi,25,F,Génie Électrique,L2,13.43,moyen
ETU1309,Kossi,Koffi,26,F,Logistique & Transport,L3,13.43,moyen
ETU1300,Lawson,Kodjo,22,F,Logistique & Transport,L3,13.42,moyen
ETU1760,Kossi,Yao,23,F,Génie Électrique,L2,13.42,moyen
ETU1617,Adjei,Kodjo,21,M,Logistique & Transport,L3,13.41,moyen
ETU1417,Kossi,Mawuli,24,M,Génie Électrique,L1,13.41,moyen
ETU1408,Assogba,Yao,24,M,Informatique & Systèmes,L1,13.4,moyen
ETU1570,Assogba,Eyram,17,F,IA & Big Data,L3,13.39,moyen
ETU1365,Tchalla,Ama,24,M,Génie Civil,L2,13.38,moyen
ETU1146,Mensah,Dodzi,26,M,IA & Big Data,L1,13.36,moyen
ETU1712,Agbeko,Mawuli,22,F,Informatique & Systèmes,L3,13.36,moyen
ETU1505,Amegan,Sena,19,F,IA & Big Data,L1,13.36,moyen
ETU1075,Amegan,Afi,26,M,Génie Électrique,L1,13.33,moyen
ETU1479,Kossi,Eyram,18,M,Logistique & Transport,L1,13.33,moyen
ETU1006,Mensah,Afi,18,F,Informatique & Systèmes,L1,13.33,moyen
ETU1396,Mensah,Mawuli,22,M,Informatique & Systèmes,L2,13.33,moyen
ETU1128,Tchalla,Kodjo,21,M,IA & Big Data,L1,13.33,moyen
ETU1453,Mensah,Mawuli,26,M,Génie Civil,L2,13.32,moyen
ETU1245,Mensah,Ama,23,M,IA & Big Data,L3,13.31,moyen
ETU1486,Lawson,Dodzi,24,M,Génie Civil,L2,13.31,moyen
ETU1538,Tchalla,Mawuli,22,M,IA & Big Data,L1,13.28,moyen
ETU1199,Assogba,Afi,22,M,Génie Électrique,L1,13.27,moyen
ETU1293,Lawson,Akossiwa,24,F,Informatique & Systèmes,L3,13.26,moyen
ETU1274,Amegan,Kodjo,21,M,Logistique & Transport,L3,13.26,moyen
ETU1218,Amegan,Koffi,18,F,Logistique & Transport,L1,13.26,moyen
ETU1776,Amegan,Afi,25,M,Génie Électrique,L3,13.26,moyen
ETU1607,Tchalla,Eyram,25,M,IA & Big Data,L1,13.26,moyen
ETU1196,Lawson,Afi,26,M,IA & Big Data,L2,13.24,moyen
ETU1091,Kouassi,Mawuli,25,F,Logistique & Transport,L3,13.24,moyen
ETU1402,Lawson,Dodzi,20,F,Génie Civil,L3,13.21,moyen
ETU1301,Kouassi,Kodjo,22,F,Génie Civil,L1,13.18,moyen
ETU1704,Kossi,Afi,26,F,Génie Civil,L2,13.17,moyen
ETU1208,Adjei,Mawuli,17,F,IA & Big Data,L1,13.16,moyen
ETU1238,Lawson,Kodjo,19,F,Informatique & Systèmes,L1,13.16,moyen
ETU1045,Assogba,Koffi,19,M,IA & Big Data,L2,13.12,moyen
ETU1682,Assogba,Yao,20,M,IA & Big Data,L3,13.12,moyen
ETU1657,Doe,Kodjo,23,M,Génie Électrique,L3,13.12,moyen
ETU1022,Kossi,Ama,26,F,IA & Big Data,L1,13.11,moyen
ETU1676,Tchalla,Kodjo,19,M,Informatique & Systèmes,L3,13.09,moyen
ETU1214,Agbeko,Afi,25,M,Logistique & Transport,L1,13.09,moyen
ETU1118,Adjei,Yao,21,F,IA & Big Data,L1,13.09,moyen
ETU1389,Kossi,Koffi,26,M,IA & Big Data,L1,13.07,moyen
ETU1517,Mensah,Afi,22,F,IA & Big Data,L1,13.06,moyen
ETU1344,Assogba,Akossiwa,20,M,Génie Civil,L3,13.06,moyen
ETU1602,Agbeko,Yao,17,M,Informatique & Systèmes,L2,13.04,moyen
ETU1778,Adjei,Ama,26,F,Informatique & Systèmes,L2,13.03,moyen
ETU1286,Kossi,Eyram,23,F,Logistique & Transport,L1,13.03,moyen
ETU1661,Agbeko,Akossiwa,26,F,Informatique & Systèmes,L3,13.0,moyen
ETU1686,Amegan,Ama,26,M,IA & Big Data,L2,13.0,moyen
ETU1347,Assogba,Mawuli,26,F,Génie Civil,L2,12.99,moyen
ETU1651,Doe,Koffi,22,F,Informatique & Systèmes,L2,12.99,moyen
ETU1589,Kouassi,Dodzi,22,M,Informatique & Systèmes,L1,12.98,moyen
ETU1554,Assogba,Yao,24,M,Informatique & Systèmes,L2,12.96,moyen
ETU1041,Agbeko,Sena,17,M,Génie Civil,L2,12.95,moyen
ETU1563,Kossi,Yao,26,M,Génie Électrique,L2,12.94,moyen
ETU1547,Tchalla,Mawuli,26,M,IA & Big Data,L2,12.93,moyen
ETU1500,Kossi,Mawuli,26,F,IA & Big Data,L3,12.93,moyen
ETU1426,Kouassi,Ama,23,M,IA & Big Data,L2,12.92,moyen
ETU1119,Kossi,Sena,22,F,Informatique & Systèmes,L2,12.91,moyen
ETU1258,Kossi,Kodjo,22,F,IA & Big Data,L1,12.9,moyen
ETU1465,Assogba,Koffi,22,F,Génie Civil,L1,12.89,moyen
ETU1694,Mensah,Kodjo,24,M,Logistique & Transport,L1,12.89,moyen
ETU1242,Mensah,Kodjo,25,M,Informatique & Systèmes,L3,12.89,moyen
ETU1604,Kouassi,Ama,21,F,IA & Big Data,L3,12.87,moyen
ETU1737,Lawson,Ama,25,F,Génie Électrique,L2,12.87,moyen
ETU1759,Agbeko,Eyram,19,F,Génie Électrique,L2,12.87,moyen
ETU1400,Assogba,Eyram,25,F,Génie Électrique,L3,12.83,moyen
ETU1385,Kossi,Akossiwa,24,F,Génie Civil,L1,12.83,moyen
ETU1116,Mensah,Afi,23,M,Informatique & Systèmes,L1,12.83,moyen
ETU1656,Agbeko,Dodzi,24,M,Informatique & Systèmes,L3,12.83,moyen
ETU1788,Tchalla,Eyram,26,F,Logistique & Transport,L3,12.83,moyen
ETU1231,Kouassi,Ama,26,F,Génie Électrique,L1,12.82,moyen
ETU1492,Agbeko,Kodjo,25,M,IA & Big Data,L2,12.82,moyen
ETU1019,Amegan,Dodzi,26,M,Informatique & Systèmes,L3,12.81,moyen
ETU1228,Tchalla,Afi,23,F,IA & Big Data,L2,12.81,moyen
ETU1117,Kossi,Mawuli,20,M,IA & Big Data,L3,12.8,moyen
ETU1717,Amegan,Koffi,21,F,Logistique & Transport,L1,12.8,moyen
ETU1232,Mensah,Mawuli,22,M,IA & Big Data,L1,12.79,moyen
ETU1586,Doe,Afi,20,M,Informatique & Systèmes,L2,12.79,moyen
ETU1635,Doe,Ama,24,M,Informatique & Systèmes,L2,12.78,moyen
ETU1549,Doe,Afi,25,M,Informatique & Systèmes,L1,12.77,moyen
ETU1152,Assogba,Sena,23,M,Génie Civil,L1,12.76,moyen
ETU1513,Kouassi,Eyram,26,F,IA & Big Data,L2,12.75,moyen
ETU1507,Adjei,Yao,18,M,Logistique & Transport,L1,12.75,moyen
ETU1049,Agbeko,Sena,25,F,Informatique & Systèmes,L1,12.74,moyen
ETU1588,Kouassi,Eyram,21,F,Informatique & Systèmes,L2,12.73,moyen
ETU1227,Tchalla,Yao,26,M,IA & Big Data,L3,12.72,moyen
ETU1398,Adjei,Eyram,19,F,IA & Big Data,L1,12.72,moyen
ETU1103,Mensah,Eyram,18,M,Logistique & Transport,L3,12.72,moyen
ETU1702,Kossi,Yao,22,F,Informatique & Systèmes,L1,12.72,moyen
ETU1182,Amegan,Afi,17,M,Génie Civil,L1,12.71,moyen
ETU1025,Doe,Koffi,26,F,Informatique & Systèmes,L2,12.69,moyen
ETU1384,Mensah,Kodjo,23,F,IA & Big Data,L1,12.69,moyen
ETU1036,Kouassi,Eyram,18,M,Logistique & Transport,L2,12.69,moyen
ETU1681,Kossi,Koffi,20,F,Logistique & Transport,L2,12.66,moyen
ETU1739,Kouassi,Sena,17,M,Génie Électrique,L1,12.66,moyen
ETU1650,Amegan,Yao,22,M,Logistique & Transport,L2,12.65,moyen
ETU1629,Lawson,Mawuli,26,M,Informatique & Systèmes,L3,12.65,moyen
ETU1186,Kossi,Sena,18,F,Génie Civil,L1,12.65,moyen
ETU1193,Lawson,Kodjo,19,M,IA & Big Data,L2,12.64,moyen
ETU1183,Doe,Sena,26,F,IA & Big Data,L2,12.62,moyen
ETU1340,Doe,Eyram,18,F,IA & Big Data,L1,12.61,moyen
ETU1285,Assogba,Eyram,18,M,IA & Big Data,L1,12.6,moyen
ETU1624,Doe,Yao,21,F,Génie Électrique,L1,12.6,moyen
ETU1530,Tchalla,Kodjo,24,F,Génie Électrique,L3,12.6,moyen
ETU1780,Kouassi,Yao,18,F,IA & Big Data,L3,12.59,moyen
ETU1272,Kossi,Mawuli,23,M,Génie Civil,L3,12.58,moyen
ETU1769,Lawson,Dodzi,18,M,Logistique & Transport,L1,12.58,moyen
ETU1524,Lawson,Eyram,24,M,Logistique & Transport,L2,12.57,moyen
ETU1275,Amegan,Ama,18,M,IA & Big Data,L3,12.56,moyen
ETU1107,Doe,Ama,26,F,Logistique & Transport,L1,12.55,moyen
ETU1008,Adjei,Akossiwa,19,M,IA & Big Data,L1,12.55,moyen
ETU1333,Kouassi,Mawuli,26,F,IA & Big Data,L1,12.52,moyen
ETU1388,Kouassi,Afi,19,M,Génie Civil,L1,12.52,moyen
ETU1520,Lawson,Ama,24,M,IA & Big Data,L1,12.51,moyen
ETU1311,Doe,Yao,25,M,IA & Big Data,L1,12.51,moyen
ETU1771,Assogba,Akossiwa,25,F,Génie Civil,L1,12.51,moyen
ETU1335,Kouassi,Koffi,18,M,Génie Civil,L3,12.51,moyen
ETU1098,Doe,Koffi,20,F,IA & Big Data,L2,12.51,moyen
ETU1773,Agbeko,Eyram,20,M,IA & Big Data,L2,12.5,moyen
ETU1749,Kossi,Koffi,22,F,IA & Big Data,L3,12.5,moyen
ETU1359,Agbeko,Akossiwa,18,F,IA & Big Data,L1,12.48,moyen
ETU1646,Amegan,Dodzi,22,M,Génie Civil,L2,12.48,moyen
ETU1184,Amegan,Afi,24,F,Génie Électrique,L1,12.48,moyen
ETU1189,Lawson,Mawuli,24,M,Logistique & Transport,L2,12.47,moyen
ETU1037,Kouassi,Ama,23,M,IA & Big Data,L1,12.47,moyen
ETU1194,Assogba,Afi,21,F,Génie Électrique,L2,12.46,moyen
ETU1315,Doe,Kodjo,22,M,Informatique & Systèmes,L2,12.45,moyen
ETU1267,Lawson,Sena,24,M,Génie Électrique,L1,12.45,moyen
ETU1516,Kouassi,Mawuli,26,M,IA & Big Data,L2,12.45,moyen
ETU1281,Amegan,Dodzi,19,M,IA & Big Data,L1,12.44,moyen
ETU1592,Adjei,Dodzi,19,M,Génie Électrique,L3,12.44,moyen
ETU1514,Assogba,Dodzi,24,M,IA & Big Data,L1,12.44,moyen
ETU1291,Adjei,Kodjo,19,F,Génie Civil,L3,12.42,moyen
ETU1630,Agbeko,Kodjo,23,M,IA & Big Data,L2,12.41,moyen
ETU1452,Amegan,Koffi,20,M,Génie Électrique,L1,12.37,moyen
ETU1671,Doe,Sena,20,M,Informatique & Systèmes,L2,12.37,moyen
ETU1089,Kouassi,Yao,17,M,Informatique & Systèmes,L1,12.36,moyen
ETU1455,Tchalla,Koffi,20,M,Génie Électrique,L3,12.35,moyen
ETU1144,Assogba,Ama,19,F,Informatique & Systèmes,L1,12.34,moyen
ETU1675,Agbeko,Akossiwa,21,F,Génie Électrique,L2,12.34,moyen
ETU1023,Assogba,Sena,17,F,Informatique & Systèmes,L3,12.34,moyen
ETU1350,Tchalla,Akossiwa,21,M,IA & Big Data,L1,12.33,moyen
ETU1191,Doe,Afi,25,F,Génie Électrique,L3,12.33,moyen
ETU1324,Assogba,Eyram,20,F,Informatique & Systèmes,L1,12.33,moyen
ETU1120,Amegan,Eyram,17,M,Informatique & Systèmes,L3,12.33,moyen
ETU1114,Tchalla,Afi,23,M,IA & Big Data,L2,12.27,moyen
ETU1459,Kossi,Eyram,21,inconnue,Génie Électrique,L1,12.26,moyen
ETU1150,Kouassi,Koffi,26,F,Génie Électrique,L1,12.26,moyen
ETU1485,Adjei,Koffi,23,M,Informatique & Systèmes,L2,12.26,moyen
ETU1670,Assogba,Eyram,20,M,Génie Électrique,L2,12.25,moyen
ETU1175,Amegan,Yao,21,M,Génie Électrique,L3,12.23,moyen
ETU1711,Tchalla,Yao,17,M,Informatique & Systèmes,L2,12.23,moyen
ETU1641,Assogba,Afi,23,M,Génie Civil,L1,12.23,moyen
ETU1476,Kouassi,Sena,21,F,IA & Big Data,L2,12.22,moyen
ETU1069,Amegan,Koffi,24,M,Génie Électrique,L1,12.22,moyen
ETU1621,Amegan,Dodzi,18,M,Logistique & Transport,L1,12.22,moyen
ETU1440,Assogba,Afi,19,F,Logistique & Transport,L3,12.22,moyen
ETU1597,Agbeko,Sena,25,M,Informatique & Systèmes,L1,12.18,moyen
ETU1529,Assogba,Akossiwa,20,M,Génie Électrique,L1,12.18,moyen
