student_id,nom,prenom,age,sexe,filiere,niveau
ETU1067,Lawson,Eyram,23.0,F,Logistique & Transport,L2
ETU1068,Mensah,Kodjo,22.0,M,Informatique & Systèmes,L3
ETU1069,Amegan,Koffi,24.0,M,Génie Électrique,L1
ETU1070,Agbeko,Kodjo,24.0,F,Logistique & Transport,L2
ETU1071,Kossi,Yao,22.0,M,Informatique & Systèmes,L2
ETU1072,Amegan,Ama,19.0,M,Informatique & Systèmes,L1
ETU1073,Kossi,Ama,24.0,F,Logistique & Transport,L1
ETU1074,Doe,Sena,24.0,M,Informatique & Systèmes,L1
ETU1075,Amegan,Afi,26.0,M,Génie Électrique,L1
ETU1076,Lawson,Afi,18.0,M,Logistique & Transport,L1
ETU1077,Adjei,Mawuli,21.0,M,IA & Big Data,L1
ETU1078,Tchalla,Afi,26.0,F,Informatique & Systèmes,L2
ETU1079,Doe,Sena,22.0,F,IA & Big Data,L1
ETU1080,Assogba,Koffi,26.0,M,Informatique & Systèmes,L1
ETU1081,Amegan,Eyram,17.0,M,IA & Big Data,L1
ETU1082,Kossi,Kodjo,17.0,M,Génie Civil,L2
ETU1083,Kouassi,Ama,24.0,F,IA & Big Data,L1
ETU1084,Doe,Eyram,20.0,F,Génie Civil,L2
ETU1085,Agbeko,Mawuli,22.0,F,Informatique & Systèmes,L1
ETU1086,Mensah,Koffi,21.0,M,Informatique & Systèmes,L1
ETU1087,Lawson,Ama,21.0,M,Informatique & Systèmes,L3
ETU1088,Agbeko,Koffi,26.0,M,Génie Civil,L1
ETU1089,Kouassi,Yao,17.0,M,Informatique & Systèmes,L1
ETU1090,Amegan,Koffi,24.0,M,Informatique & Systèmes,L1
ETU1091,Kouassi,Mawuli,25.0,F,Logistique & Transport,L3
ETU1092,Kouassi,Afi,23.0,M,Génie Électrique,L2
ETU1093,Lawson,Dodzi,20.0,M,IA & Big Data,L2
ETU1094,Kouassi,Mawuli,18.0,M,Logistique & Transport,L3
ETU1095,Adjei,Sena,23.0,M,Informatique & Systèmes,L1
ETU1096,Adjei,Afi,21.0,M,IA & Big Data,L3
ETU1097,Doe,Koffi,18.0,M,Génie Électrique,L1
ETU1098,Doe,Koffi,20.0,F,IA & Big Data,L2
ETU1099,Kossi,Sena,26.0,M,IA & Big Data,L2
ETU1100,Kouassi,Koffi,19.0,M,Génie Civil,L1
ETU1101,Kossi,Koffi,18.0,M,IA & Big Data,L3
ETU1102,Kouassi,Yao,,F,Génie Civil,L1
ETU1103,Mensah,Eyram,18.0,M,Logistique & Transport,L3
ETU1104,Agbeko,Kodjo,26.0,F,Génie Électrique,L1
ETU1105,Agbeko,Mawuli,25.0,F,Génie Civil,L2
ETU1106,Agbeko,Kodjo,26.0,F,Génie Civil,L3
ETU1107,Doe,Ama,26.0,F,Logistique & Transport,L1
ETU1108,Amegan,Akossiwa,19.0,M,Informatique & Systèmes,L3
ETU1109,Agbeko,Koffi,19.0,F,IA & Big Data,L2
ETU1110,Adjei,Mawuli,20.0,M,Génie Électrique,L2
ETU1111,Agbeko,Ama,21.0,F,Génie Électrique,L1
ETU1112,Tchalla,Akossiwa,25.0,M,IA & Big Data,L2
ETU1113,Amegan,Dodzi,24.0,M,Génie Électrique,L2
ETU1114,Tchalla,Afi,23.0,M,IA & Big Data,L2
ETU1115,Tchalla,Kodjo,25.0,F,Logistique & Transport,L1
ETU1116,Mensah,Afi,23.0,M,Informatique & Systèmes,L1
ETU1117,Kossi,Mawuli,20.0,M,IA & Big Data,L3
ETU1118,Adjei,Yao,21.0,F,IA & Big Data,L1
ETU1119,Kossi,Sena,22.0,F,Informatique & Systèmes,L2
ETU1120,Amegan,Eyram,17.0,M,Informatique & Systèmes,L3
ETU1121,Doe,Afi,24.0,M,IA & Big Data,L1
ETU1122,Doe,Kodjo,23.0,M,Informatique & Systèmes,L1
ETU1123,Amegan,Ama,24.0,F,IA & Big Data,L2
ETU1124,Kouassi,Yao,22.0,M,Informatique & Systèmes,L1
ETU1125,Tchalla,Dodzi,24.0,F,Informatique & Systèmes,L2
ETU1126,Mensah,Afi,26.0,M,Informatique & Systèmes,L2
ETU1127,Agbeko,Akossiwa,22.0,M,Informatique & Systèmes,L2
ETU1128,Tchalla,Kodjo,21.0,M,IA & Big Data,L1
ETU1129,Doe,Afi,18.0,M,IA & Big Data,L2
ETU1130,Tchalla,Afi,24.0,F,IA & Big Data,L2
ETU1131,Tchalla,Sena,26.0,M,Génie Civil,L1
ETU1132,Mensah,Yao,23.0,M,Logistique & Transport,L2
ETU1133,Tchalla,Sena,25.0,F,Logistique & Transport,L3
ETU1134,Agbeko,Kodjo,25.0,F,Génie Électrique,L2
ETU1135,Lawson,Dodzi,24.0,F,Génie Électrique,L2
ETU1136,Doe,Ama,22.0,M,Informatique & Systèmes,L1
ETU1137,Mensah,Ama,17.0,F,Génie Civil,L1
ETU1138,Lawson,Kodjo,17.0,F,Génie Civil,L1
ETU1139,Amegan,Afi,19.0,M,Logistique & Transport,L1
ETU1140,Assogba,Sena,21.0,M,Logistique & Transport,L3
ETU1141,Adjei,Kodjo,24.0,F,Informatique & Systèmes,L1
ETU1142,Adjei,Dodzi,21.0,M,Génie Civil,L3
ETU1143,Amegan,Kodjo,17.0,M,Génie Civil,L1
ETU1144,Assogba,Ama,19.0,F,Informatique & Systèmes,L1
ETU1145,Kouassi,Ama,26.0,F,Logistique & Transport,L1
ETU1146,Mensah,Dodzi,26.0,M,IA & Big Data,L1
ETU1147,Adjei,Ama,20.0,M,Logistique & Transport,L3
ETU1148,Kouassi,Dodzi,25.0,M,Génie Civil,L3
ETU1149,Mensah,Yao,24.0,M,IA & Big Data,L3
ETU1150,Kouassi,Koffi,26.0,F,Génie Électrique,L1
ETU1151,Adjei,Akossiwa,25.0,F,IA & Big Data,L3
ETU1152,Assogba,Sena,23.0,M,Génie Civil,L1
ETU1153,Adjei,Kodjo,20.0,M,Génie Civil,L3
ETU1154,Amegan,Mawuli,23.0,F,Génie Électrique,L2
ETU1155,Doe,Sena,20.0,M,Logistique & Transport,L1
ETU1156,Kossi,Kodjo,20.0,M,IA & Big Data,L1
ETU1157,Tchalla,Sena,23.0,M,Informatique & Systèmes,L1
ETU1158,Tchalla,Dodzi,22.0,F,Informatique & Systèmes,L1
ETU1159,Agbeko,Kodjo,22.0,M,IA & Big Data,L3
ETU1160,Assogba,Ama,20.0,F,Informatique & Systèmes,L3
ETU1161,Doe,Kodjo,21.0,M,Informatique & Systèmes,L3
ETU1162,Amegan,Eyram,17.0,F,Informatique & Systèmes,L1
ETU1163,Amegan,Yao,23.0,M,Informatique & Systèmes,L2
ETU1164,Amegan,Dodzi,22.0,M,Logistique & Transport,L1
ETU1165,Kouassi,Afi,26.0,M,Informatique & Systèmes,L2
ETU1166,Lawson,Sena,22.0,M,Logistique & Transport,L1
ETU1167,Kossi,Akossiwa,21.0,M,Informatique & Systèmes,L1
ETU1168,Lawson,Dodzi,17.0,M,Informatique & Systèmes,L2
ETU1169,Mensah,Koffi,18.0,M,Génie Électrique,L1
ETU1170,Kossi,Yao,20.0,M,Informatique & Systèmes,L2
ETU1171,Mensah,Kodjo,20.0,F,Informatique & Systèmes,L2
ETU1172,Agbeko,Kodjo,20.0,M,Génie Électrique,L1
ETU1173,Agbeko,Kodjo,20.0,F,IA & Big Data,L3
ETU1174,Doe,Ama,24.0,F,Informatique & Systèmes,L2
ETU1175,Amegan,Yao,,M,Génie Électrique,L3
ETU1176,Agbeko,Koffi,20.0,F,Informatique & Systèmes,L2
ETU1177,Kossi,Afi,18.0,F,Génie Civil,L2
ETU1178,Assogba,Akossiwa,20.0,F,Informatique & Systèmes,L2
ETU1179,Tchalla,Afi,23.0,M,Logistique & Transport,L3
ETU1180,Assogba,Afi,17.0,M,Génie Civil,L2
ETU1181,Kossi,Mawuli,20.0,M,Logistique & Transport,L1
ETU1182,Amegan,Afi,17.0,M,Génie Civil,L1
ETU1183,Doe,Sena,26.0,F,IA & Big Data,L2
ETU1184,Amegan,Afi,24.0,F,Génie Électrique,L1
ETU1185,Amegan,Sena,19.0,M,IA & Big Data,L1
ETU1186,Kossi,Sena,18.0,F,Génie Civil,L1
ETU1187,Lawson,Akossiwa,17.0,M,Génie Électrique,L2
ETU1188,Adjei,Yao,21.0,F,Informatique & Systèmes,L1
ETU1189,Lawson,Mawuli,24.0,M,Logistique & Transport,L2
ETU1190,Doe,Akossiwa,22.0,F,IA & Big Data,L3
ETU1191,Doe,Afi,25.0,F,Génie Électrique,L3
ETU1192,Doe,Ama,20.0,M,Génie Civil,L1
ETU1193,Lawson,Kodjo,19.0,M,IA & Big Data,L2
ETU1194,Assogba,Afi,21.0,F,Génie Électrique,L2
ETU1195,Mensah,Sena,19.0,M,Génie Civil,L2
ETU1196,Lawson,Afi,26.0,M,IA & Big Data,L2
ETU1197,Kossi,Akossiwa,18.0,F,Génie Électrique,L1
ETU1198,Lawson,Dodzi,21.0,M,Informatique & Systèmes,L3
ETU1199,Assogba,Afi,22.0,M,Génie Électrique,L1
ETU1200,Lawson,Eyram,17.0,M,IA & Big Data,L3
ETU1201,Assogba,Mawuli,21.0,M,Logistique & Transport,L2
ETU1202,Amegan,Afi,21.0,F,Logistique & Transport,L1
ETU1203,Doe,Eyram,19.0,M,IA & Big Data,L2
ETU1204,Amegan,Ama,18.0,M,Informatique & Systèmes,L1
ETU1205,Adjei,Dodzi,17.0,M,Génie Électrique,L3
ETU1206,Agbeko,Eyram,17.0,F,Génie Civil,L2
ETU1207,Assogba,Afi,21.0,M,Informatique & Systèmes,L1
ETU1208,Adjei,Mawuli,17.0,F,IA & Big Data,L1
ETU1209,Agbeko,Afi,,F,IA & Big Data,L2
ETU1210,Adjei,Yao,19.0,F,Logistique & Transport,L1
ETU1211,Agbeko,Mawuli,23.0,F,Informatique & Systèmes,L3
ETU1212,Agbeko,Yao,23.0,F,Logistique & Transport,L3
ETU1213,Amegan,Akossiwa,21.0,F,Informatique & Systèmes,L2
ETU1214,Agbeko,Afi,25.0,M,Logistique & Transport,L1
ETU1215,Adjei,Eyram,18.0,F,IA & Big Data,L2
ETU1216,Mensah,Akossiwa,19.0,M,IA & Big Data,L3
ETU1217,Mensah,Kodjo,19.0,M,Logistique & Transport,L1
ETU1218,Amegan,Koffi,18.0,F,Logistique & Transport,L1
ETU1219,Assogba,Ama,19.0,F,Informatique & Systèmes,L1
ETU1220,Kossi,Koffi,20.0,F,Informatique & Systèmes,L1
ETU1221,Amegan,Koffi,24.0,M,Informatique & Systèmes,L2
ETU1222,Agbeko,Eyram,20.0,M,Informatique & Systèmes,L2
ETU1223,Adjei,Eyram,25.0,M,IA & Big Data,L2
ETU1224,Agbeko,Eyram,24.0,M,Logistique & Transport,L1
ETU1225,Lawson,Koffi,26.0,M,Informatique & Systèmes,L1
ETU1226,Kouassi,Koffi,,M,Génie Civil,L1
ETU1227,Tchalla,Yao,26.0,M,IA & Big Data,L3
ETU1228,Tchalla,Afi,23.0,F,IA & Big Data,L2
ETU1229,Kossi,Akossiwa,26.0,M,Génie Électrique,L1
ETU1230,Amegan,Kodjo,20.0,F,Informatique & Systèmes,L3
ETU1231,Kouassi,Ama,26.0,F,Génie Électrique,L1
ETU1232,Mensah,Mawuli,22.0,M,IA & Big Data,L1
ETU1233,Agbeko,Akossiwa,17.0,M,Logistique & Transport,L1
ETU1234,Amegan,Koffi,21.0,M,Génie Civil,L3
ETU1235,Agbeko,Mawuli,18.0,F,Logistique & Transport,L2
ETU1236,Doe,Dodzi,26.0,M,IA & Big Data,L2
ETU1237,Amegan,Koffi,20.0,M,Informatique & Systèmes,L1
ETU1238,Lawson,Kodjo,19.0,F,Informatique & Systèmes,L1
ETU1239,Doe,Eyram,22.0,F,Génie Électrique,L2
ETU1240,Kossi,Mawuli,21.0,M,Informatique & Systèmes,L1
ETU1241,Tchalla,Eyram,17.0,M,IA & Big Data,L3
ETU1242,Mensah,Kodjo,25.0,M,Informatique & Systèmes,L3
ETU1243,Doe,Akossiwa,25.0,M,Informatique & Systèmes,L2
ETU1244,Doe,Mawuli,24.0,M,Informatique & Systèmes,L2
ETU1245,Mensah,Ama,23.0,M,IA & Big Data,L3
ETU1246,Agbeko,Yao,21.0,F,Informatique & Systèmes,L2
ETU1247,Amegan,Sena,22.0,M,Génie Électrique,L2
ETU1248,Agbeko,Sena,22.0,F,Informatique & Systèmes,L3
ETU1249,Mensah,Ama,18.0,M,Informatique & Systèmes,L1
ETU1250,Kossi,Afi,17.0,F,Génie Électrique,L3
ETU1251,Amegan,Akossiwa,19.0,F,Génie Civil,L1
ETU1252,Kossi,Afi,21.0,F,Informatique & Systèmes,L2
ETU1253,Lawson,Dodzi,18.0,F,Génie Électrique,L3
ETU1254,Doe,Koffi,18.0,M,Logistique & Transport,L2
ETU1255,Kossi,Dodzi,25.0,M,Génie Électrique,L2
ETU1256,Doe,Kodjo,20.0,M,Logistique & Transport,L2
ETU1257,Kossi,Mawuli,22.0,M,Génie Civil,L1
ETU1258,Kossi,Kodjo,22.0,F,IA & Big Data,L1
ETU1259,Tchalla,Akossiwa,24.0,,Informatique & Systèmes,L1
ETU1260,Agbeko,Mawuli,24.0,F,Génie Civil,L2
ETU1261,Kossi,Sena,19.0,M,Logistique & Transport,L2
ETU1262,Adjei,Ama,25.0,M,Informatique & Systèmes,L1
ETU1263,Assogba,Mawuli,20.0,M,IA & Big Data,L3
ETU1264,Assogba,Mawuli,25.0,F,Génie Électrique,L1
ETU1265,Tchalla,Akossiwa,21.0,F,IA & Big Data,L2
ETU1266,Amegan,Dodzi,18.0,M,Génie Civil,L1
ETU1267,Lawson,Sena,24.0,M,Génie Électrique,L1
ETU1268,Doe,Akossiwa,17.0,F,Génie Civil,L2
ETU1269,Tchalla,Koffi,24.0,M,Logistique & Transport,L2
ETU1270,Adjei,Sena,17.0,F,Génie Électrique,L1
ETU1271,Mensah,Yao,19.0,M,Génie Électrique,L3
ETU1272,Kossi,Mawuli,23.0,M,Génie Civil,L3
ETU1273,Assogba,Afi,26.0,M,Logistique & Transport,L2
ETU1274,Amegan,Kodjo,21.0,M,Logistique & Transport,L3
ETU1275,Amegan,Ama,18.0,M,IA & Big Data,L3
ETU1276,Amegan,Mawuli,19.0,M,Génie Électrique,L1
ETU1277,Agbeko,Ama,25.0,F,IA & Big Data,L2
ETU1278,Mensah,Kodjo,24.0,M,Logistique & Transport,L2
ETU1279,Mensah,Eyram,18.0,M,Génie Électrique,L1
ETU1280,Adjei,Dodzi,20.0,M,Informatique & Systèmes,L1
ETU1281,Amegan,Dodzi,19.0,M,IA & Big Data,L1
ETU1282,Doe,Dodzi,18.0,F,Informatique & Systèmes,L2
ETU1283,Amegan,Afi,25.0,M,Génie Civil,L3
ETU1284,Amegan,Yao,23.0,F,IA & Big Data,L3
ETU1285,Assogba,Eyram,18.0,M,IA & Big Data,L1
ETU1286,Kossi,Eyram,23.0,F,Logistique & Transport,L1
ETU1287,Tchalla,Dodzi,21.0,M,Génie Civil,L2
ETU1288,Tchalla,Sena,17.0,F,IA & Big Data,L2
ETU1289,Amegan,Ama,21.0,M,Informatique & Systèmes,L3
ETU1290,Kouassi,Afi,18.0,M,Logistique & Transport,L3
ETU1291,Adjei,Kodjo,19.0,F,Génie Civil,L3
ETU1292,Assogba,Eyram,25.0,F,Génie Électrique,L3
ETU1293,Lawson,Akossiwa,24.0,F,Informatique & Systèmes,L3
ETU1294,Tchalla,Akossiwa,18.0,M,Informatique & Systèmes,L2
ETU1295,Tchalla,Koffi,25.0,F,IA & Big Data,L1
ETU1296,Kouassi,Eyram,22.0,F,Génie Civil,L1
ETU1297,Amegan,Mawuli,25.0,F,IA & Big Data,L1
ETU1298,Adjei,Koffi,24.0,M,IA & Big Data,L1
ETU1299,Mensah,Kodjo,20.0,F,Génie Civil,L1
ETU1300,Lawson,Kodjo,22.0,F,Logistique & Transport,L3
ETU1301,Kouassi,Kodjo,22.0,F,Génie Civil,L1
ETU1302,Mensah,Dodzi,24.0,M,Informatique & Systèmes,L3
ETU1303,Kouassi,Ama,19.0,M,Informatique & Systèmes,L3
ETU1304,Tchalla,Akossiwa,20.0,F,Informatique & Systèmes,L2
ETU1305,Kossi,Ama,19.0,M,Informatique & Systèmes,L2
ETU1306,Lawson,Yao,19.0,F,Génie Électrique,L1
ETU1307,Tchalla,Dodzi,18.0,M,Informatique & Systèmes,L2
ETU1308,Lawson,Dodzi,17.0,M,Génie Électrique,L1
ETU1309,Kossi,Koffi,26.0,F,Logistique & Transport,L3
ETU1310,Doe,Sena,17.0,M,Logistique & Transport,L1
ETU1311,Doe,Yao,25.0,M,IA & Big Data,L1
ETU1312,Kossi,Ama,17.0,F,Informatique & Systèmes,L2
ETU1313,Adjei,Yao,24.0,F,IA & Big Data,L2
ETU1314,Adjei,Ama,20.0,F,Informatique & Systèmes,L2
ETU1315,Doe,Kodjo,22.0,M,Informatique & Systèmes,L2
ETU1316,Agbeko,Dodzi,19.0,M,IA & Big Data,L1
ETU1317,Agbeko,Afi,21.0,F,Génie Civil,L2
ETU1318,Assogba,Mawuli,21.0,M,Génie Électrique,L1
ETU1319,Agbeko,Kodjo,22.0,M,Logistique & Transport,L1
ETU1320,Lawson,Koffi,20.0,M,IA & Big Data,L1
ETU1321,Kossi,Koffi,22.0,M,IA & Big Data,L1
ETU1322,Doe,Yao,25.0,F,Informatique & Systèmes,L1
ETU1323,Assogba,Yao,21.0,F,IA & Big Data,L2
ETU1324,Assogba,Eyram,20.0,F,Informatique & Systèmes,L1
ETU1325,Adjei,Eyram,18.0,M,Logistique & Transport,L1
ETU1326,Adjei,Eyram,20.0,M,IA & Big Data,L2
ETU1327,Mensah,Sena,18.0,M,IA & Big Data,L1
ETU1328,Kossi,Afi,18.0,M,Génie Électrique,L2
ETU1329,Tchalla,Sena,26.0,M,Génie Électrique,L3
ETU1330,Tchalla,Kodjo,17.0,M,Génie Électrique,L2
ETU1331,Lawson,Sena,21.0,M,Informatique & Systèmes,L3
ETU1332,Lawson,Mawuli,25.0,M,Génie Civil,L1
ETU1333,Kouassi,Mawuli,26.0,F,IA & Big Data,L1
ETU1334,Amegan,Sena,18.0,M,Informatique & Systèmes,L2
ETU1335,Kouassi,Koffi,18.0,M,Génie Civil,L3
ETU1336,Assogba,Mawuli,20.0,F,Logistique & Transport,L3
ETU1337,Lawson,Akossiwa,22.0,F,Informatique & Systèmes,L1
ETU1338,Adjei,Mawuli,26.0,F,Génie Électrique,L3
ETU1339,Assogba,Afi,19.0,M,IA & Big Data,L1
ETU1340,Doe,Eyram,18.0,F,IA & Big Data,L1
ETU1341,Adjei,Akossiwa,19.0,M,IA & Big Data,L1
ETU1342,Doe,Dodzi,25.0,M,Génie Civil,L3
ETU1343,Tchalla,Eyram,17.0,M,Informatique & Systèmes,L1
ETU1344,Assogba,Akossiwa,20.0,M,Génie Civil,L3
ETU1345,Adjei,Kodjo,18.0,M,IA & Big Data,L2
ETU1346,Assogba,Afi,18.0,M,Logistique & Transport,L2
ETU1347,Assogba,Mawuli,26.0,F,Génie Civil,L2
ETU1348,Kossi,Sena,17.0,M,IA & Big Data,L3
ETU1349,Kossi,Eyram,20.0,M,IA & Big Data,L1
ETU1350,Tchalla,Akossiwa,,M,IA & Big Data,L1
ETU1351,Mensah,Afi,23.0,M,Logistique & Transport,L2
ETU1352,Adjei,Kodjo,17.0,M,IA & Big Data,L1
ETU1353,Amegan,Dodzi,21.0,M,Génie Électrique,L1
ETU1354,Assogba,Akossiwa,26.0,M,Informatique & Systèmes,L1
ETU1355,Assogba,Afi,21.0,F,Génie Civil,L1
ETU1356,Kossi,Ama,22.0,F,Informatique & Systèmes,L1
ETU1357,Kouassi,Eyram,22.0,M,Génie Électrique,L1
ETU1358,Mensah,Akossiwa,23.0,F,Logistique & Transport,L3
ETU1359,Agbeko,Akossiwa,18.0,F,IA & Big Data,L1
ETU1360,Kouassi,Afi,25.0,F,Génie Civil,L3
ETU1361,Kouassi,Kodjo,26.0,F,IA & Big Data,L3
ETU1362,Adjei,Eyram,18.0,F,Informatique & Systèmes,L1
ETU1363,Kouassi,Afi,25.0,F,Logistique & Transport,L2
ETU1364,Kossi,Afi,25.0,F,Génie Électrique,L2
ETU1365,Tchalla,Ama,24.0,M,Génie Civil,L2
ETU1366,Amegan,Koffi,20.0,M,Informatique & Systèmes,L1
ETU1367,Lawson,Akossiwa,21.0,M,Informatique & Systèmes,L1
ETU1368,Mensah,Dodzi,25.0,M,Informatique & Systèmes,L1
ETU1369,Agbeko,Dodzi,18.0,M,Génie Électrique,L2
ETU1370,Lawson,Sena,25.0,M,Informatique & Systèmes,L3
ETU1371,Doe,Sena,26.0,M,Informatique & Systèmes,L2
ETU1372,Amegan,Akossiwa,23.0,M,Informatique & Systèmes,L2
ETU1373,Lawson,Ama,20.0,F,Informatique & Systèmes,L3
ETU1374,Kouassi,Koffi,22.0,M,Informatique & Systèmes,L2
ETU1375,Mensah,Akossiwa,17.0,M,IA & Big Data,L1
ETU1376,Agbeko,Akossiwa,26.0,F,Logistique & Transport,L3
ETU1377,Agbeko,Ama,20.0,F,Génie Électrique,L1
ETU1378,Lawson,Yao,17.0,F,IA & Big Data,L1
ETU1379,Adjei,Koffi,24.0,F,Génie Civil,L2
ETU1380,Mensah,Sena,23.0,F,Logistique & Transport,L3
ETU1381,Assogba,Dodzi,23.0,M,IA & Big Data,L1
ETU1382,Assogba,Sena,17.0,M,IA & Big Data,L2
ETU1383,Adjei,Kodjo,24.0,M,IA & Big Data,L1
ETU1384,Mensah,Kodjo,23.0,F,IA & Big Data,L1
ETU1385,Kossi,Akossiwa,24.0,F,Génie Civil,L1
ETU1386,Mensah,Ama,25.0,M,Logistique & Transport,L2
ETU1387,Kouassi,Afi,19.0,M,IA & Big Data,L3
ETU1388,Kouassi,Afi,19.0,M,Génie Civil,L1
ETU1389,Kossi,Koffi,26.0,M,IA & Big Data,L1
ETU1390,Agbeko,Kodjo,22.0,M,Génie Électrique,L1
ETU1391,Kossi,Yao,21.0,M,Génie Civil,L1
ETU1392,Lawson,Ama,19.0,F,Informatique & Systèmes,L2
ETU1393,Tchalla,Mawuli,23.0,M,IA & Big Data,L2
ETU1394,Agbeko,Afi,24.0,F,Génie Électrique,L2
ETU1395,Kouassi,Sena,17.0,F,Logistique & Transport,L1
ETU1396,Mensah,Mawuli,22.0,M,Informatique & Systèmes,L2
ETU1397,Kossi,Dodzi,,M,IA & Big Data,L1
ETU1398,Adjei,Eyram,19.0,F,IA & Big Data,L1
ETU1399,Lawson,Sena,19.0,M,Génie Électrique,L3
ETU1400,Assogba,Eyram,25.0,F,Génie Électrique,L3
ETU1401,Agbeko,Kodjo,17.0,M,Génie Civil,L3
ETU1402,Lawson,Dodzi,20.0,F,Génie Civil,L3
ETU1403,Assogba,Mawuli,21.0,F,Logistique & Transport,L2
ETU1404,Amegan,Sena,24.0,M,Génie Civil,L3
ETU1405,Tchalla,Dodzi,18.0,M,Informatique & Systèmes,L1
ETU1406,Amegan,Afi,21.0,F,Génie Électrique,L1
ETU1407,Kossi,Mawuli,18.0,M,Informatique & Systèmes,L1
ETU1408,Assogba,Yao,24.0,M,Informatique & Systèmes,L1
