identifiant,email,nom,genre,remboursement,taux_endete,cout_total,benefices,age
83,OlivieNorbert@cuvox.de,Olivie Norbert,F,666.01,30.18,89485.8,56.510000000000005,38.0
84,SomerMarleau@cuvox.de,Somer Marleau,M,531.83,30.6,127639.2,62.22,34.0
85,AstridJolicoeur@superrito.com,Astrid Jolicoeur,F,2980.27,47.0,715264.8,320.08,24.0
86,OlivierGaillard@superrito.com,Olivier Gaillard,M,234.96,17.8,42292.8,20.39,42.0
87,PhilipPinneau@teleworm.us,Philip Pinneau,M,658.9,22.0,197670.0,103.53,54.0
88,AlexisLagrange@gustr.com,Alexis Lagrange,M,772.69,26.3,185445.6,87.39,37.0
89,HeloiseGregoire@dayrep.com,Heloise Gregoire,F,1484.38,35.2,356251.2,172.48,34.0
90,DexterDavid@fleckens.hu,Dexter David,M,434.7,16.1,104328.0,51.03,37.0
91,JacquesMethot@cuvox.de,Jacques Methot,M,1321.39,32.3,237850.2,102.97,47.0
92,AnceloteDesforges@cuvox.de,Ancelote Desforges,F,271.87,17.7,65248.8,30.48,29.0
93,JulietteOuellet@rhyta.com,Juliette Ouellet,F,566.59,31.6,169977.0,85.77,46.0
94,AvrilSylvain@superrito.com,Avril Sylvain,F,1216.64,32.0,218995.2,102.75,30.0
95,RachellePlaisance@armyspy.com,Rachelle Plaisance,F,1318.51,21.73,242700.0,127.15,23.0
96,BenjaminLabrie@fleckens.hu,Benjamin Labrie,M,547.17,18.3,164151.0,76.67,25.0
97,LaureBondy@superrito.com,Laure Bondy,F,240.24,15.4,72072.0,35.59,inconnue
98,NatalieLeveille@rhyta.com,Natalie Leveille,F,650.76,32.2,156182.4,88.96,50.0
99,SydneyGuibord@superrito.com,Sydney Guibord,F,662.32,27.2,79478.40000000001,36.39,47.0
100,ZdenekVadnais@superrito.com,Zdenek Vadnais,M,1148.98,31.6,275755.2,136.38,37.0
101,LoyalQuenneville@superrito.com,Loyal Quenneville,M,1024.83,21.630000000000003,253104.6,125.95,54.0
102,ErnestTachel@cuvox.de,Ernest Tachel,M,951.44,49.4,228345.6,118.45,52.0
103,MatthieuPouchard@teleworm.us,Matthieu Pouchard,M,346.62,17.1,83188.8,36.01,36.0
104,SearlasArtois@rhyta.com,Searlas Artois,M,916.01,15.3,219842.4,109.01,46.0
105,ArnoLeBatelier@einrot.com,Arno Le Batelier,M,353.04,15.1,105912.0,55.52,26.0
106,EstellePoisson@jourrapide.com,Estelle Poisson,F,746.29,41.3,89554.79999999999,44.52,34.0
107,HarcourtCharpentier@cuvox.de,Harcourt Charpentier,M,384.66,18.7,92318.4,45.66,44.0
108,CrescentLavallee@armyspy.com,Crescent Lavallee,F,919.98,34.2,220795.2,105.52,48.0
109,EugeniaVadeboncoeur@cuvox.de,Eugenia Vadeboncoeur,F,446.21,33.6,107090.4,50.15,37.0
110,GenevreLabrie@cuvox.de,Genevre Labrie,F,550.26,28.9,132062.4,60.42,38.0
111,NormandCote@dayrep.com,Normand Cote,M,555.13,16.1,99923.4,52.13,34.0
112,ZoeLeclair@gustr.com,Zoe Leclair,F,1730.91,29.9,207709.2,97.28,25.0
113,PhillipaPerrault@einrot.com,Phillipa Perrault,F,662.78,28.64,110706.0,61.88,31.0
114,EliseDesrosiers@jourrapide.com,Elise Desrosiers,F,442.66,20.9,132798.0,68.28,36.0
115,RussellRochon@superrito.com,Russell Rochon,M,1100.62,26.4,264148.8,134.39,45.0
116,BeldaLauzier@armyspy.com,Belda Lauzier,F,403.85,28.4,72693.0,30.26,47.0
117,AlphonsineSacre@einrot.com,Alphonsine Sacre,F,800.46,32.9,192110.4,95.82,45.0
118,AubineLabelle@cuvox.de,Aubine Labelle,F,642.43,23.9,192729.0,96.12,30.0
119,EmileVadnais@rhyta.com,Emile Vadnais,M,1631.24,26.0,293623.2,141.8,47.0
120,ArienneCantin@superrito.com,Arienne Cantin,F,842.02,18.6,202084.8,111.06,53.0
121,JacquesMarcheterre@einrot.com,Jacques Marcheterre,M,476.88,16.1,143064.0,63.43,26.0
122,EliotDupuis@gustr.com,Eliot Dupuis,M,2457.54,37.6,294904.8,127.55,32.0
123,ArthurPlante@jourrapide.com,Arthur Plante,M,224.63,17.4,40433.4,18.53,53.0
124,SacripantLabrie@armyspy.com,Sacripant Labrie,M,854.81,24.47,148132.8,80.9,46.0
125,SibylaLizotte@cuvox.de,Sibyla Lizotte,F,2043.46,34.8,490430.4,229.28,inconnue
126,ChristianLaberge@armyspy.com,Christian Laberge,M,1016.51,38.1,121981.2,56.67,27.0
127,VickDavid@gustr.com,Vick David,M,1353.78,42.2,406134.0,191.9,43.0
128,ComforteCloutier@einrot.com,Comforte Cloutier,F,840.38,23.8,201691.2,103.45,28.0
129,ClaudeGalarneau@armyspy.com,Claude Galarneau,M,1899.15,27.9,341847.0,181.04,25.0
130,ElisePerrault@superrito.com,Elise Perrault,F,1473.36,56.0,353606.4,160.01,51.0
131,LoringRocheleau@cuvox.de,Loring Rocheleau,M,882.57,24.2,264771.0,127.2,24.0
132,MathildeSansouci@superrito.com,Mathilde Sansouci,F,463.98,27.9,83516.40000000001,40.75,35.0
133,AmaurySirois@superrito.com,Amaury Sirois,M,1254.99,40.5,196195.8,111.27,52.0
134,ChristelleLandry@jourrapide.com,Christelle Landry,F,1021.72,35.6,183909.6,84.6,44.0
135,AdelaideBrousse@gustr.com,Adelaide Brousse,F,318.0,26.5,57240.0,31.34,44.0
136,BriceFaure@einrot.com,Brice Faure,M,706.65,32.7,211995.0,104.23,54.0
137,AlaineHervieux@rhyta.com,Alaine Hervieux,F,1374.6,23.2,329904.0,134.02,39.0
138,LanceCroteau@einrot.com,Lance Croteau,M,1138.27,21.3,273184.8,149.68,25.0
139,AurelieBazinet@dayrep.com,Aurelie Bazinet,F,841.86,37.6,151534.8,78.8,32.0
140,AstolphoVeronneau@teleworm.us,Astolpho Veronneau,M,422.1,30.0,75978.0,37.48,42.0
141,JolieDeblois@armyspy.com,Jolie Deblois,F,1892.86,35.5,454286.4,212.19,35.0
142,MireilleParenteau@superrito.com,Mireille Parenteau,F,682.18,31.7,122792.4,61.4,27.0
143,ToussaintBrodeur@rhyta.com,Toussaint Brodeur,M,965.49,27.8,231717.6,106.88,inconnue
144,PorterSimard@armyspy.com,Porter Simard,M,771.32,34.43,80211.0,60.14999999999999,23.0
145,JeromedeLaunay@fleckens.hu,Jeromede Launay,M,2193.93,36.7,658179.0,296.45,42.0
146,LowellPatel@rhyta.com,Lowell Patel,M,459.58,15.6,137874.0,69.8,27.0
147,GarlandMarcheterre@fleckens.hu,Garland Marcheterre,F,469.44,36.45,56007.6,33.6,35.0
148,OlivierAube@armyspy.com,Olivier Aube,M,551.89,29.480000000000004,74290.2,51.1,23.0
149,FrontinoBrian@einrot.com,Frontino Brian,M,805.49,31.1,144988.2,71.65,50.0
150,RochMireault@gustr.com,Roch Mireault,M,706.2,26.4,127116.0,68.32,40.0
151,NathalieCormier@cuvox.de,Nathalie Cormier,F,790.99,21.6,189837.6,88.67,52.0
152,VallisMainville@gustr.com,Vallis Mainville,M,397.63,16.7,95431.2,48.59,36.0
153,DanielleNeufville@teleworm.us,Danielle Neufville,F,554.78,24.1,133147.19999999998,66.3,50.0
154,AllyrianeRacine@gustr.com,Allyriane Racine,F,1407.32,23.3,337756.8,171.55,33.0
155,PierpontFlamand@fleckens.hu,Pierpont Flamand,M,1344.68,35.1,242042.4,110.63,52.0
156,DanielHuot@rhyta.com,Daniel Huot,M,1151.24,44.9,276297.6,137.11,26.0
157,HughPoisson@fleckens.hu,Hugh Poisson,M,1225.78,23.6,294187.2,149.55,41.0
158,YoletteMoreau@dayrep.com,Yolette Moreau,F,887.54,25.1,213009.6,98.96,46.0
159,GasparReault@dayrep.com,Gaspar Reault,M,934.26,28.85,165799.40000000002,85.94,34.0
160,DelitBisaillon@teleworm.us,Delit Bisaillon,F,401.34,22.7,120402.0,58.39,46.0
161,ManonDastous@armyspy.com,Manon Dastous,F,1130.52,19.9,203493.6,83.6,38.0
162,LoyalFouquet@armyspy.com,Loyal Fouquet,M,497.46,36.1,119390.4,54.22,39.0
163,ApollineLaframboise@teleworm.us,Apolline Laframboise,F,997.26,17.2,179506.8,83.02,32.0
164,OrielMiron@jourrapide.com,Oriel Miron,F,781.52,25.3,187564.8,88.55,38.0
165,LianeLaGarde@cuvox.de,Liane La Garde,F,811.07,30.4,194656.8,85.57,47.0
166,AnastasieCroteau@rhyta.com,Anastasie Croteau,F,913.36,23.3,219206.4,102.2,25.0
167,VerneyCourse@armyspy.com,Verney Course,M,1011.02,35.4,242644.8,116.57,24.0
168,VoletaAdler@armyspy.com,Voleta Adler,F,2807.41,44.1,673778.3999999999,330.15,54.0
169,PlattParent@jourrapide.com,Platt Parent,M,663.0,30.0,159120.0,77.77,28.0
170,BlondelleAilleboust@gustr.com,Blondelle Ailleboust,F,1311.2,55.0,314688.0,137.81,43.0
171,AurelieDesnoyer@armyspy.com,Aurelie Desnoyer,F,853.53,23.2,153635.4,75.54,23.0
172,AvelaineGadbois@dayrep.com,Avelaine Gadbois,F,1072.02,38.3,257284.8,125.53,38.0
173,BriceGrondin@fleckens.hu,Brice Grondin,M,3744.77,55.2,674058.6,350.51,27.0
174,ZacharieDuplessis@rhyta.com,Zacharie Duplessis,M,850.82,55.5,153147.6,66.87,40.0
175,OgierGervais@gustr.com,Ogier Gervais,M,693.4,15.3,166416.0,81.96,41.0
176,FusbertaRancourt@rhyta.com,Fusberta Rancourt,F,1132.83,24.6,271879.19999999995,142.28,51.0
177,CamilleLaurent@superrito.com,Camille Laurent,F,324.49,16.2,77877.6,37.25,44.0
178,CeriseMontminy@dayrep.com,Cerise Montminy,F,480.08,25.7,86414.4,41.37,27.0
179,JosetteRiquier@armyspy.com,Josette Riquier,F,569.95,28.8,136788.0,68.62,52.0
180,AgnesBriard@cuvox.de,Agnes Briard,F,266.58,18.5,63979.2,30.66,48.0
181,AvrilRocheleau@fleckens.hu,Avril Rocheleau,F,1023.8,15.9,307140.0,144.61,50.0
182,BenoitGauvin@teleworm.us,Benoit Gauvin,M,1505.16,37.0,361238.4,162.56,43.0
183,HeloiseMarcil@fleckens.hu,Heloise Marcil,F,871.42,37.4,209140.8,99.08,32.0
184,RolandDupont@einrot.com,Roland Dupont,M,986.7,23.2,236808.0,109.03,25.0
185,SolaineLabrecque@fleckens.hu,Solaine Labrecque,F,1015.45,26.8,243708.0,106.62,54.0
186,JulieBeauchemin@teleworm.us,Julie Beauchemin,F,498.34,34.8,89701.2,43.77,41.0
187,KarelDandonneau@dayrep.com,Karel Dandonneau,M,748.67,26.7,134760.6,71.65,30.0
188,PaienBeauchesne@rhyta.com,Paien Beauchesne,M,930.95,27.6,167571.0,82.25,38.0
189,AdeleClavette@cuvox.de,Adele Clavette,F,461.76,30.2,138528.0,67.82,31.0
190,LotyeJodion@fleckens.hu,Lotye Jodion,F,984.03,38.2,236167.2,101.26,36.0
191,AmaranteLacroix@fleckens.hu,Amarante Lacroix,F,485.62,30.6,116548.8,58.86,39.0
192,XarlesCaisse@jourrapide.com,Xarles Caisse,M,398.21,18.3,95570.4,53.2,52.0
193,LealaLemelin@dayrep.com,Leala Lemelin,F,1765.28,27.2,423667.2,195.42,25.0
194,ChantalLamoureux@jourrapide.com,Chantal Lamoureux,F,716.94,23.3,215082.00000000003,99.3,26.0
195,NinetteAdler@superrito.com,Ninette Adler,F,826.56,33.49,130118.6,69.55,32.0
196,EmmanuelleLabrie@einrot.com,Emmanuelle Labrie,F,270.66,15.6,64958.40000000001,32.34,35.0
197,HuonDeLaRonde@rhyta.com,Huon De La Ronde,M,394.77,28.9,94744.8,43.5,inconnue
198,SimoneSt-Pierre@jourrapide.com,Simone St- Pierre,F,301.71,16.3,72410.4,35.99,51.0
199,PeverellMazuret@dayrep.com,Peverell Mazuret,M,488.48,17.2,58617.600000000006,28.01,32.0
200,LorrainePaulet@einrot.com,Lorraine Paulet,F,869.58,27.2,156524.4,82.04,37.0
201,DemiLazure@cuvox.de,Demi Lazure,F,1301.44,25.1,312345.60000000003,119.6,37.0
202,AgramantGrandpre@rhyta.com,Agramant Grandpre,M,638.72,18.6,153292.80000000002,73.52,38.0
203,ClothildeBerie@teleworm.us,Clothilde Berie,F,930.13,25.2,279039.0,127.54,37.0
204,AimeMarseau@dayrep.com,Aime Marseau,M,1425.06,37.7,256510.8,133.71,23.0
205,RogerDeLaRonde@gustr.com,Roger De La Ronde,M,1567.76,55.3,282196.8,127.58,37.0
206,AiglentinaMarcheterre@superrito.com,Aiglentina Marcheterre,F,1769.87,46.6,424768.8,196.28,43.0
207,NoemiLaisne@rhyta.com,Noemi Laisne,F,707.26,37.6,169742.4,89.82,31.0
208,DenisPatenaude@einrot.com,Denis Patenaude,M,962.77,37.8,231064.8,111.39,41.0
209,JulienBeriault@rhyta.com,Julien Beriault,M,1054.77,33.4,253144.8,125.62,43.0
210,MartheQuerry@einrot.com,Marthe Querry,F,3104.23,53.1,558761.4,265.64,34.0
211,ParfaitBedard@armyspy.com,Parfait Bedard,M,788.5,21.17,146885.0,79.01,25.0
212,MandelBarteaux@gustr.com,Mandel Barteaux,M,1766.63,37.2,529989.0,237.83,25.0
213,PauletteLemaitre@fleckens.hu,Paulette Lemaitre,F,1392.0,48.0,250560.0,108.68,29.0
214,YoletteLanoie@dayrep.com,Yolette Lanoie,F,744.13,15.1,89295.6,39.14,47.0
215,LucilleBaron@superrito.com,Lucille Baron,F,238.01,18.8,57122.4,27.18,24.0
216,ChappellSarrazin@rhyta.com,Chappell Sarrazin,M,759.11,28.7,182186.4,90.71,40.0
217,GanoHetu@fleckens.hu,Gano Hetu,M,825.6,40.0,148608.0,66.07,38.0
218,MinetteRoy@fleckens.hu,Minette Roy,F,1153.98,28.9,276955.2,124.75,46.0
219,RoslynChalifour@cuvox.de,Roslyn Chalifour,M,1820.79,29.1,546237.0,249.22,31.0
220,KarelBazinet@einrot.com,Karel Bazinet,M,896.0,35.0,268800.0,123.42,45.0
221,JosetteBordeleau@einrot.com,Josette Bordeleau,F,1356.53,30.3,325567.2,153.56,48.0
222,LangleyCaron@armyspy.com,Langley Caron,M,907.45,23.4,163341.0,78.2,30.0
223,ClaudeDandonneau@jourrapide.com,Claude Dandonneau,F,672.13,31.6,161311.2,83.95,30.0
224,ApollineMichaud@superrito.com,Apolline Michaud,F,1486.99,29.05,380592.0,196.75,27.0
225,PascalineBeaudry@rhyta.com,Pascaline Beaudry,F,876.43,37.2,157757.4,77.04,29.0
226,FleurCaouette@jourrapide.com,Fleur Caouette,F,2910.96,57.1,698630.4,331.85,26.0
227,FrancisMasse@jourrapide.com,Francis Masse,M,434.38,18.5,130314.0,62.82,27.0
